"id","glk_word","glk_example","en_word","en_example"
1,"آ","آ مأمۊد خؤرم آدمه","Mr.","Mr. Mahmoud is a good person"
2,"آب دأن درم","گۊلانأ آب دأن درم","Watering","I'm watering the flowers"
3,"آج","آج بأورده","Insatiable","He/She is insatiable"
4,"آجۊر","آجۊر ديفار ٚ جأ کفتن دره","Brick","The brick is falling from the wall"
5,"آخربسر","من کي دأنم آخربسر وا بأئي مي ويجأ","Finally","I know that you finally must come to me"
6,"آخرپس","شانامه آخرپس خۊشه","End","The end of Shahnameh is happy"
7,"آدم-نفر","شيمي آدم -نفران کؤيأ ايسأئيد؟","Members","Where are your members?"
8,"آشخال جابه","آشخالانأ تأود آشخال جابه","Trash Bin","Throw garbage in the trash bin"
9,"آغۊز","آغۊز خۊري؟","Walnut","Do you eat walnut?"
10,"آلاخان والاخان","آلاخان والاخاني جأ بئتره","Homeless","It is better than being homeless"
11,"آها","آها، منم أيم","Yes","Yes, I come too"
12,"آهين","مي دۊکان آهين پۊرد ٚ ور نهأ","Iron","My shop is next to the iron bridge"
13,"آوج","هرچي زنگ بزئم آوجأ ندأ","Answer","Whatever I called he/she didn't answer"
14,"أ","شۊفاژأ چأکۊدي؟","The","Did you repair the radiator?"
15,"أتؤ","أتؤ ني-يه","Like This","It's not like this"
16,"أجۊر","أجۊر چي-يان مرأ حالي ني-يه","Such","I don't understand such things"
17,"أذب","مي برار أذبه","Single","My brother is single"
18,"أرايم","أرايم بيأ","This Way Too","Come this way too"
19,"أرسۊ","تي أرسۊئانأ پاکۊن","Tear","Wipe your tears"
20,"أزازيل","أ أزازيل ٚ زاکانأ فأندر","Very Naughty","Look at these very Naughty kids"
21,"أسباب","ايپچه أسباب بأورم بۊخۊري؟","Snack","Should I get you some snack to eat?"
22,"أشان","أشان کي أمؤن دريد کيسيد؟","They","Who are they coming?"
23,"أشبل","مائي أشبل ٚ مرأ کۊکۊ چأکۊنيدي","Fish Egg","They make cutlet with fish egg"
24,"ألاو","جه وس هوا سرده أمي دهنأ ألاو بيرۊن أيه","Steam","It's too cold that steam come from our mouth"
25,"ألباقي","شير ٚ ألباقي-يأ دۊکۊن جا دۊرۊن","Remaining","Pour the remaining milk into the dish"
26,"ألنگ","مرأ ألنگ بزه بکفتم","Trip","He/She tripped me and I fell"
27,"أمأن","أمأن دۊ نفريم","We","We are two people"
28,"أمؤن","ورزشگا جأ أمؤن درم","Coming","I'm coming from the stadium"
29,"أمبست","أ دؤغ پۊر أمبسته","Thick","This yogurt is very thick"
30,"أمرأ","منم تي أمرأ أيم","With","I'm coming with you"
31,"أمي","شۊمانم أمي أمرأ أئيدي؟","Us","Are you also come with us?"
32,"أن","أن چيسه؟","This","What is this?"
33,"أنديفه","أ ساعت چارصد تۊمۊن أنديفه دأره؟","Worth","Is this watch worth four handred Tomans?"
34,"أنگاره","چي ره أنقد أنگاره بيده-ئي؟","Prepare","Why did you prepare this much?"
35,"أوانگاره","هأچين أمه ره أوانگاره بيده-ئيم","Trouble","We made trouble for ourselves because of nothing"
36,"أوري","مي کافشينأ أوري؟","Would You Bring","Would you bring me my jacket?"
37,"أولي","تي أولي زاکه؟","First","Is this your first child?"
38,"أوير","مي ساعتأ أويرأ کۊدم","Lost","I lost my watch"
39,"أويستي","أشان دۊتا أويستي-يأ مأنيدي","Rival Wives","These two look like someone's rival wives"
40,"أيأ","تي کيليدانأ أيأ بنأ بۊم","Here","You left your keys here"
41,"أياز","أياز بينيشته گۊلان ٚ سر","Dew","There's dew on the flowers"
42,"أپچ","أن أنار ٚ مزه أپچه","Astringent","This pomegranate tsates astringent"
43,"أژدم","تي پلا أژدمه","Very Salty","Your rice is very salty"
44,"أکه","أکه تأنيم بازي بۊکۊنيم؟","When","When can we play?"
45,"ؤ","من ؤ حۊسئن دۊتائي شيم","And","Me and Hosein will go together"
46,"ارجئن ارجئن","﻿کاغذانأ همهˈ ارجئن ارجئنأ کۊده","Shred","He/She shred all the papers"
47,"اي","اي ميليۊن تۊمۊن پۊل خأیم","One","I need one million Tomans cash"
48,"اي فچم","ترأ بيدينم اي فچم ماچي دهم","A Lot","If I see you I'll give you a lot of kisses"
49,"اي مۊشته","اي مۊشته بج مرأ فأدن","A Fistful","Give me a fistful of rice"
50,"اي وخت","اي وخت پۊر ترأ خأستيم","Once","I once wanted you so much"
51,"اي ور","أن ٚ رختان هرتأ اي ور کفته","One Corner","Each one of his/her clothes lies in one corner"
52,"اي وري","أ تابلؤ چي ره اي وري نهأ؟","Crooked","Why is this board crooked?"
53,"اي پئم","اي پئم سيبيشکا مرأ فأدي؟","A Fistful","Will you give me a fistful of sunflower seeds?"
54,"ايتأ","ايتأ کاغذ مرأ فأدن","A","Give me a paper"
55,"ايجانا","من ؤ ميعاد ايجانا بۊشؤئيم بيرۊن","Together","Miad and I went out together"
56,"ايدانه","ايدانه کۊئي خأيم","One","I want one pumpkin"
57,"ايدفأ","ايدفأ بامؤم شيمي خانه","Once","I once came to your home"
58,"ايدفأئي","ناصر ايدفأئي بامؤ اۊتاق ٚ دۊرۊن","Suddenly","Nasser suddenly entered the room"
59,"ايدقه","ايدقه بئس","A Minute","Wait a minute"
60,"ايرۊز","ايرۊز دئه بمانسته مي تعطيلي-يان تۊمانأ به","One Day","One day remains until my holidays end"
61,"ايزه","ايزه بۊشۊ اۊشنتر","A Little Bit","Move over a little bit"
62,"ايسأبيد","ديشب همه أمي خانه ايسابيد","They Were","They were all in our house last night"
63,"ايسال","ايسال دئه مي درز تۊمانأ به","One Year","My education will end in one year"
64,"ايستۊل","أشأن چۊب ٚ جأ ایستۊل چأکۊنيد","Chair","They make chair out of wood"
65,"ايسم","تي ايسم چيسه؟","Name","What's your name?"
66,"ايسيد؟","شۊمان چن نفر ايسيد؟","Are You?","How many people are you?"
67,"ايسکمۊ","بۊشۊ دۊکان دۊتا ايسکمۊ بيهين","Ice Pop","Go to the shop and buy two ice pops"
68,"ايشتاو","هأی أمرأ ايشتاو ديهه","Warning","He/She constantly warning us"
69,"ايشتاوي","ايشتاوي چي گمه؟","Do You Hear","Do you hear what I'm saying?"
70,"ايششه","ايششه، لانتي","Ew","Ew, snake"
71,"ايشماردن","مي زأى ايشماردنأ نأنه","Count","My kid doesn't know how to count"
72,"ايشکؤر","کيشکائان ٚ رئم ايشکؤر فۊکۊن","Rice Crumbs","Sprinkle rice crumbs for chickens too"
73,"ايشکنئن","چي-يأ ايشکنئن دري؟","Break","What are you breaking?"
74,"ايمرۊ","ايمرۊ بۊشؤم کيتابخانه","Today","Today I went to the library"
75,"اينسان","اينسان بۊبۊ","Human","Be human"
76,"اينفر","اينفر دئه خأئيم أمي جرگه چأکۊده ببه","One Person","We need one more person to make our group"
77,"ايوار ايوار","ايوار ايوار شئطان مرأ گه . . .","Occasionally","Occasionally, Satan tells me. . ."
78,"ايواردم","ايواردم وا بشم بازار","Once Again","I have to go to the market once again"
79,"ايوارٚکي","ايوارٚکي بۊگۊ نأيم ترأ راحتأ کۊن","Suddenly","Suddenly say I'm not comming and get rif of yourself"
80,"ايپيچم","گۊش نۊکۊني ايپيچم ترأيأ","I'll be aggressive","I'll be aggressive if you don't pay attention"
81,"ايپچه","ايپچه پلا مه ره دۊکۊن","A little bit","Serve me a little bit of rice"
82,"ايچي","ايچي خأيم ترأ بگم","Something","I want to tell you something"
83,"اۊتاق","مي اۊتاق کؤيتأ ايسه؟","Room","Which one is my room?"
84,"اۊدۊشتن","سۊمبۊر ٚ مأنستن أمي خۊنأ اۊدۊشتن دريد","Suck","They're sucking our blood like a leech"
85,"اۊرشين","کترأيأ اۊسادم قاتؤقا اۊرشين بزئم","Stir","I picked up wooden spoon and stir the stew"
86,"اۊسان","قاقؤشاقانأ اۊسان بأور","Pick Up","Pick up the spoons and bring them"
87,"اۊسه کۊد","أ کيتابأ کي اۊسه کۊد؟","Sent","Who sent this book?"
88,"اۊشان","اۊشان کيسيد؟","They","Who are they?"
89,"اۊشکؤفت","آب مرأ اۊشکؤفت","Choked","I choked on water"
90,"اۊن","اۊن چيسه؟","That","What is that?"
91,"اۊيأ","مهين ٚ کيف اۊيأ نهأ","Over There","Mahin's Bag is over there"
92,"اۊچين","تي کيتابانأ اۊچين","Collect","Collect your book"
93,"اۊکۊف","أمه ره اۊکۊف دره","Presage","It has presage for us"
94,"بأور","بۊشۊ مي کيفأ بأور","Bring It","Go Bring my bag"
95,"بؤبؤسته","أ پلا دئه بؤبؤسته","Ready","The rice is ready"
96,"بؤبؤسته","چي بؤبؤسته؟","Hppened","What has been happened?"
97,"بؤبؤسته","مهسا مرد ٚ ره بؤبؤسته","Married (With a Man)","Mahsa married"
98,"بؤرسفته","مي کيف ٚ بند بؤرسفته","Torn","My bag's handle is torn"
99,"بؤرسن","دئه بؤرسن","Stop","Stop it"
100,"بؤق","ماشين ٚ شيشه بؤق بۊکۊده","Steam","Car's glass has been steamed"
101,"بئس","ايمشبأ أمي خانه بئس","Stay","Stay in our house tonight"
102,"بئس","ايپچه بئس","Wait","Wait a little bit"
103,"بئگان","هۊيأ بئگان","Throw","Throw it there"
104,"بار بامؤئيد","گيلکان نترس بار بامؤئيد","Are Trained","Gileks are trained to be brave"
105,"باش","خۊ پيله برارأ باشه","Dominant","He/She is dominant over his/her older brother"
106,"باقي بمأنسته","أن ٚ باقي بمانسته ٰ چي بۊکۊنم؟","Remaining","What shuld I do with the remaining?"
107,"بال","مي بالأ بيگير","Hand","Take my hand"
108,"بال زئن","أن ٚ پئر أنأ بال بزه","Support","His/her father supported him/her"
109,"بالاخا","أمي بالاخا ويريشته","Stood Up","He/She stood up for us"
110,"بامؤخته","بامؤخته آدمأ همه دۊس دأريدي","Polite","Everyone loves a polite person"
111,"بامؤختي","اۊشاني کي بۊگؤفتمه بامؤختي؟","Did You Learn","Did you learn what I said?"
112,"ببه","أگه أتؤ ببه","Be","If it be like this"
113,"ببه","من گب خبربري نۊکۊنم هرچي خأيه ببه بدأ ببه","Be","I don't gossip whatever it is let it be"
114,"بتپسته","يخچال أسباب ٚ جأ بتپسته-يه","Full","The fridge is full of things"
115,"بج","ايمسال بج گيرانأ بؤسته","Rice","Rice has become expensive this year"
116,"بجار","أگه کاري نۊکۊنيم أمي بجاران همه دس جه شيدي","Rice Field","If we don't do anything all of our rice fields will be gone"
117,"بجارکار","بجارکار کۊدن دره","Farming (on Rice Field)","He/She is farming on the rice field"
118,"بجاوسته","کي خۊ بجاوسته آدامسأ تاودأ خيابان ٚ دۊرۊن؟","Chewed","Who threw his/her chewed gum in the street?"
119,"بجسته","مي دس ٚ رگ بجسته","Prominent","The veins on my hand got prominent"
120,"بخألي","بخألي آخري سال ببه","I Guess","I guess it's the last year"
121,"بدأ","بدأ بيدينم چي تأنم بۊکۊنم","Let Me","Let me see what can I do"
122,"بدگيل","أ مانتؤ بدگيل ني-يه أمما مي ديلأ نيگيفته","Ugly","This manteau is not ugly but not my favorite"
123,"برأر","مي برار بۊشؤ ايجباري","Brother","My brother has gone to military"
124,"برار زن","أفشين ٚ برارزن مي ريفئقه","Sister in Law (Brother's Wife)","Afshin's sister in law is my friend"
125,"برارزا","مي برارزا بۊشؤ مٚدٚرسه","Nephew/Niece (Brother's Child)","My nephew has gone to school"
126,"بردن","تقي زن ببرده","Married (With Woman)","Taghi married"
127,"برسه","أ خۊرمالۊئان برسه","Ripe","These persimmons are ripe"
128,"بزن بزن","ديرۊ أمي کۊچه سر بزن بزن بۊ","Fight","There was a fight in our alley yesterday"
129,"بسته","بسته کۊني؟","Bet","Do you bet?"
130,"بسر تأودأ","مأمد مرأ بسر تأودأ بشم بانک","Reminded me","Mohammed reminded me to go to the bank"
131,"بسر دکفتم","بسر دکفتم ايمسال بشم دانشگا","I Decided","I decided to go to university this year"
132,"بسچي","بسچي کي أيم","Definitely","I'll definitely come"
133,"بشکفت","ورف ٚ سينگيني جأ أ دار بشکفت","Broke","Because of heavy snow this tree broke"
134,"بل","أن ٚ بل بل ٚ گۊشأ فأندر","Protruding","Look at his/her protruding ears"
135,"بمأنستم","دئه بمأنستم","I'm Exhausted","I'm exhausted"
136,"بمأنسته","أ نان بمانسته-يه","Stale","This bread is stale"
137,"بمرده","کؤرؤنا وأسي دأني چن نفر بمرده؟","Dead","Do you know how many people are dead because of Corona?"
138,"بنأ اۊسان","آدم وا خۊ بنأ اۊسانأ بدأنه","Lifestyle","One must know his/her own lifestyle"
139,"بندام","بندام ٚ آدم ٚ مرأ نوأسي نيشتن","Infamous","Should not communicate with the infamous person"
140,"بنماسته","خؤرأ أمرأ بنماسته","Showed","He/She showed himself/herself to us"
141,"بنه","تي ماشينأ هأيأ بنه","Leave","Leave your car right here"
142,"به","أ راديؤ چأکۊده به؟","Will Be","Will this radio be fixed?"
143,"به زرف","پئله-يأ به زرف بزه زيمين بشکنه","Very Hard","He/She throw the saucer very hard on the ground and broke it"
144,"به فسکأ دأ","أمرأ به فسکأ دأ","Exposed","He/She exposed us"
145,"بي","تۊ ناصر ٚ أمرأ بي","You Whre","You where with Naser"
146,"بي","مي أمرأ ريفئقأ بي؟","Will You","Will you be my friend?"
147,"بي شناق","بعضي-يان پۊر بي شناقيد","Ungrateful","Some people are very ungrateful"
